Student,Group,Injured,Quit Team,Pct7,Per/Night,GPA.pre,GPA.post,Difference GPA,Clean.pre,Clean.post,Difference Clean,Back.pre,Back.post,Difference Back,Bench Diff,Bench.pre,Bench.post
61,Above,FALSE,FALSE,0.9,7,3,3,0,288,288,0,405,405,0,0,290,290
62,Below,FALSE,FALSE,0.85,6.8,3.45,3.71,-0.26,230,230,0,335,335,0,0,230,230
63,Below,FALSE,FALSE,0.2,6,3.02,3.5,-0.48,264,255,9,345,315,30,25,285,260
64,Below,TRUE,FALSE,0.6,6,1.33,2.23,-0.9,255,265,-10,500,,,-20,295,315
65,Above,TRUE,FALSE,0.95,8,2.92,2.6,0.32,242,264,-22,485,,,-30,325,355
66,Above,TRUE,FALSE,0.92,7.2,2.66,1.4,1.26,190,,,200,,,-20,285,305
68,Above,FALSE,FALSE,0.8,7,3.39,3,0.39,218,251,-33,260,250,10,-5,240,245
69,Below,FALSE,FALSE,0.68,6.5,3.46,3.42,0.04,297,308,-11,440,420,20,-20,305,325
72,Above,FALSE,FALSE,0.95,7,2.5,2.25,0.25,308,321,-13,440,465,-25,-20,300,320
73,Below,FALSE,FALSE,0.8,6.7,3,3.23,-0.23,250,243,7,530,500,30,-10,290,300
74,Above,FALSE,FALSE,1,8,2.21,2.31,-0.1,200,242,-42,300,345,-45,-35,190,225
75,Above,FALSE,TRUE,1,8,3.14,3.25,-0.11,290,,,345,,,,345,
76,Below,TRUE,FALSE,0.45,6.5,2.81,2.15,0.66,253,255,-2,390,345,45,,275,
77,Below,FALSE,FALSE,0,3.5,1.62,2.06,-0.44,285,265,20,485,445,40,-5,300,305
78,Below,TRUE,FALSE,0.78,6.5,3.4,2.84,0.56,290,,,475,,,,335,
80,Below,FALSE,FALSE,0.78,6,3.76,3.81,-0.05,240,275,-35,545,545,0,-10,305,315
81,Above,TRUE,FALSE,0.85,7,3.37,2.8,0.57,295,,,360,,,,,355
82,Above,TRUE,FALSE,0.9,7,,2.5,,,190,,,350,,-25,235,260
83,Below,FALSE,FALSE,0.8,6.5,2.43,2.8,-0.37,264,270,-6,390,435,-45,-15,270,285
84,Above,FALSE,FALSE,0.96,7.5,3.18,2.75,0.43,301,321,-20,435,465,-30,-15,330,345
85,Below,FALSE,TRUE,0.18,6,2.43,0,2.43,275,,,445,,,,250,
